RUN	uk.gov.hmcts.reform.LandA.performance.simulations.mainSimulation	mainsimulation	1645190194505	 	3.3.1
USER	LAU Simulation	1	START	1645190196517	1645190196517
REQUEST	1	LAU_020_Homepage	LAU Homepage	1645190196555	1645190196706	OK	 
REQUEST	1	LAU_020_Homepage	LAU Homepage Redirect 1	1645190196748	1645190196785	OK	 
REQUEST	1	LAU_020_Homepage	LAU Homepage Redirect 2	1645190196786	1645190196865	OK	 
GROUP	1	LAU_020_Homepage	1645190196524	1645190197515	536	OK
REQUEST	1	LAU_030_Login	LAU Login	1645190202640	1645190203599	OK	 
REQUEST	1	LAU_030_Login	LAU Login Redirect 1	1645190203618	1645190204090	OK	 
REQUEST	1	LAU_030_Login	LAU Login Redirect 2	1645190204099	1645190204148	OK	 
GROUP	1	LAU_030_Login	1645190202596	1645190204505	1814	OK
REQUEST	1	LAU_040_CaseAuditSearch	LAU Case Audit Search	1645190209504	1645190210541	OK	 
REQUEST	1	LAU_040_CaseAuditSearch	LAU Case Audit Search Redirect 1	1645190210543	1645190210615	OK	 
GROUP	1	LAU_040_CaseAuditSearch	1645190209503	1645190210883	1354	OK
REQUEST	1	LAU_050_CaseAuditPage2	LAU Case Audit Page 2	1645190215891	1645190216480	OK	 
REQUEST	1	LAU_050_CaseAuditPage2	LAU Case Audit Page 2 Redirect 1	1645190216481	1645190216560	OK	 
GROUP	1	LAU_050_CaseAuditPage2	1645190215890	1645190216828	925	OK
REQUEST	1	LAU_060_CaseActivityDownload	Case Activity CSV Download	1645190221828	1645190222080	OK	 
GROUP	1	LAU_060_CaseActivityDownload	1645190221828	1645190222083	252	OK
REQUEST	1	LAU_070_CaseSearchDownload	Case Search CSV Download	1645190227081	1645190227728	OK	 
GROUP	1	LAU_070_CaseSearchDownload	1645190227079	1645190227731	647	OK
REQUEST	1	LAU_080_LogonAuditSearch	LAU Logon Audit Search	1645190232731	1645190233478	OK	 
REQUEST	1	LAU_080_LogonAuditSearch	LAU Logon Audit Search Redirect 1	1645190233479	1645190233564	OK	 
GROUP	1	LAU_080_LogonAuditSearch	1645190232729	1645190233802	1053	OK
REQUEST	1	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2	1645190238811	1645190239283	OK	 
REQUEST	1	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2 Redirect 1	1645190239284	1645190239366	OK	 
GROUP	1	LAU_090_LogonAuditPage2	1645190238810	1645190239621	802	OK
REQUEST	1	LAU_100_LogonActivityDownload	Logon Activity CSV Download	1645190244620	1645190245254	OK	 
GROUP	1	LAU_100_LogonActivityDownload	1645190244619	1645190245255	634	OK
REQUEST	1	LAU_040_CaseAuditSearch	LAU Case Audit Search	1645190250251	1645190250989	OK	 
REQUEST	1	LAU_040_CaseAuditSearch	LAU Case Audit Search Redirect 1	1645190250990	1645190251062	OK	 
GROUP	1	LAU_040_CaseAuditSearch	1645190250250	1645190251327	1066	OK
REQUEST	1	LAU_050_CaseAuditPage2	LAU Case Audit Page 2	1645190256328	1645190256927	OK	 
REQUEST	1	LAU_050_CaseAuditPage2	LAU Case Audit Page 2 Redirect 1	1645190256928	1645190257024	OK	 
GROUP	1	LAU_050_CaseAuditPage2	1645190256328	1645190257292	953	OK
REQUEST	1	LAU_060_CaseActivityDownload	Case Activity CSV Download	1645190262291	1645190263179	OK	 
GROUP	1	LAU_060_CaseActivityDownload	1645190262290	1645190263180	888	OK
REQUEST	1	LAU_070_CaseSearchDownload	Case Search CSV Download	1645190268189	1645190268582	OK	 
GROUP	1	LAU_070_CaseSearchDownload	1645190268189	1645190268584	393	OK
REQUEST	1	LAU_080_LogonAuditSearch	LAU Logon Audit Search	1645190273579	1645190274096	OK	 
REQUEST	1	LAU_080_LogonAuditSearch	LAU Logon Audit Search Redirect 1	1645190274097	1645190274197	OK	 
GROUP	1	LAU_080_LogonAuditSearch	1645190273578	1645190274542	949	OK
REQUEST	1	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2	1645190279541	1645190280274	OK	 
REQUEST	1	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2 Redirect 1	1645190280275	1645190280366	OK	 
GROUP	1	LAU_090_LogonAuditPage2	1645190279540	1645190280619	1066	OK
REQUEST	1	LAU_100_LogonActivityDownload	Logon Activity CSV Download	1645190285608	1645190286113	OK	 
GROUP	1	LAU_100_LogonActivityDownload	1645190285608	1645190286115	505	OK
REQUEST	1	LAU_040_CaseAuditSearch	LAU Case Audit Search	1645190291125	1645190291537	OK	 
REQUEST	1	LAU_040_CaseAuditSearch	LAU Case Audit Search Redirect 1	1645190291538	1645190291633	OK	 
GROUP	1	LAU_040_CaseAuditSearch	1645190291124	1645190291951	815	OK
REQUEST	1	LAU_050_CaseAuditPage2	LAU Case Audit Page 2	1645190296962	1645190297477	OK	 
REQUEST	1	LAU_050_CaseAuditPage2	LAU Case Audit Page 2 Redirect 1	1645190297479	1645190297569	OK	 
GROUP	1	LAU_050_CaseAuditPage2	1645190296960	1645190297992	1018	OK
REQUEST	1	LAU_060_CaseActivityDownload	Case Activity CSV Download	1645190302999	1645190303532	OK	 
GROUP	1	LAU_060_CaseActivityDownload	1645190302991	1645190303544	533	OK
REQUEST	1	LAU_070_CaseSearchDownload	Case Search CSV Download	1645190308552	1645190309386	OK	 
GROUP	1	LAU_070_CaseSearchDownload	1645190308531	1645190309394	834	OK
REQUEST	1	LAU_080_LogonAuditSearch	LAU Logon Audit Search	1645190314436	1645190315183	OK	 
REQUEST	1	LAU_080_LogonAuditSearch	LAU Logon Audit Search Redirect 1	1645190315192	1645190315285	OK	 
GROUP	1	LAU_080_LogonAuditSearch	1645190314396	1645190315714	1228	OK
REQUEST	1	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2	1645190320712	1645190321397	OK	 
REQUEST	1	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2 Redirect 1	1645190321397	1645190321492	OK	 
GROUP	1	LAU_090_LogonAuditPage2	1645190320711	1645190324511	3794	OK
REQUEST	1	LAU_100_LogonActivityDownload	Logon Activity CSV Download	1645190329518	1645190329938	OK	 
GROUP	1	LAU_100_LogonActivityDownload	1645190329518	1645190329939	420	OK
REQUEST	1	LAU_040_CaseAuditSearch	LAU Case Audit Search	1645190334939	1645190335569	OK	 
REQUEST	1	LAU_040_CaseAuditSearch	LAU Case Audit Search Redirect 1	1645190335569	1645190335669	OK	 
