RUN	simulations.mainSimulation	mainsimulation	1646752298702	 	3.3.1
USER	LAU Simulation	1	START	1646752299223	1646752299223
REQUEST	1	adoption_010_Homepage	Adoption Homepage	1646752299248	1646752299311	OK	 
REQUEST	1	adoption_010_Homepage	Adoption Homepage Redirect 1	1646752299330	1646752299361	OK	 
REQUEST	1	adoption_010_Homepage	Adoption Homepage Redirect 2	1646752299363	1646752299424	OK	 
GROUP	1	adoption_010_Homepage	1646752299231	1646752299707	345	OK
REQUEST	1	Adoption_020_Login	Adoption Login	1646752301734	1646752302053	OK	 
REQUEST	1	Adoption_020_Login	Adoption Login Redirect 1	1646752302057	1646752302241	OK	 
REQUEST	1	Adoption_020_Login	Adoption Login Redirect 2	1646752302243	1646752302667	OK	 
REQUEST	1	Adoption_020_Login	Adoption Login Redirect 3	1646752302669	1646752302705	OK	 
GROUP	1	Adoption_020_Login	1646752301729	1646752302835	1081	OK
REQUEST	1	Adoption_030_Apply_With	Adoption Applying With	1646752304836	1646752304888	OK	 
GROUP	1	Adoption_030_Apply_With	1646752304835	1646752304934	90	OK
REQUEST	1	Adoption_040_Adoption_Applying_Post	Adoption Applying Post	1646752306928	1646752307480	OK	 
REQUEST	1	Adoption_040_Adoption_Applying_Post	Adoption Applying Post Redirect 1	1646752307482	1646752307526	OK	 
GROUP	1	Adoption_040_Adoption_Applying_Post	1646752306926	1646752307574	638	OK
REQUEST	1	Adoption_050_Adoption_Applying_With_Redirect	Adoption Applying With Redirect	1646752309579	1646752309629	OK	 
GROUP	1	Adoption_050_Adoption_Applying_With_Redirect	1646752309578	1646752309677	93	OK
REQUEST	1	adoption_290_Birth_Certificate	Adoption Birth Certificate Details	1646752311689	1646752311738	OK	 
GROUP	1	adoption_290_Birth_Certificate	1646752311688	1646752311811	118	OK
REQUEST	1	adoption_300_Birth_Certificate_Name	Adoption Birth Certificate Name	1646752313808	1646752314443	OK	 
REQUEST	1	adoption_300_Birth_Certificate_Name	Adoption Birth Certificate Name Redirect 1	1646752314444	1646752314483	OK	 
GROUP	1	adoption_300_Birth_Certificate_Name	1646752313807	1646752314540	727	OK
REQUEST	1	adoption_320_Birth_Certificate_DoB	Adoption Birth Certificate DoB	1646752316538	1646752316586	OK	 
REQUEST	1	adoption_320_Birth_Certificate_DoB	Adoption Birth Certificate DoB Redirect 1	1646752316588	1646752316630	OK	 
GROUP	1	adoption_320_Birth_Certificate_DoB	1646752316537	1646752316678	134	OK
REQUEST	1	adoption_325_Birth_Certificate_DoB_Redirect	Adoption Birth Certificate Details Redirect	1646752318679	1646752318721	OK	 
GROUP	1	adoption_325_Birth_Certificate_DoB_Redirect	1646752318678	1646752318980	297	OK
REQUEST	1	adoption_330_Birth_Certificate_Sex	Adoption Birth Certificate Sex	1646752318980	1646752319460	OK	 
REQUEST	1	adoption_330_Birth_Certificate_Sex	Adoption Birth Certificate Sex Redirect 1	1646752319462	1646752319504	OK	 
GROUP	1	adoption_330_Birth_Certificate_Sex	1646752318980	1646752319563	577	OK
REQUEST	1	adoption_335_Birth_Certificate_Sex_Redirect	Adoption Birth Certificate Sex Redirect	1646752321557	1646752321679	OK	 
GROUP	1	adoption_335_Birth_Certificate_Sex_Redirect	1646752321557	1646752321722	161	OK
REQUEST	1	adoption_340_Birth_Certificate_Nationality_Add	Adoption Birth Certificate Nationality Add	1646752321722	1646752322225	OK	 
REQUEST	1	adoption_340_Birth_Certificate_Nationality_Add	Adoption Birth Certificate Nationality Add Redirect 1	1646752322226	1646752322279	OK	 
GROUP	1	adoption_340_Birth_Certificate_Nationality_Add	1646752321722	1646752322346	620	OK
REQUEST	1	adoption_350_Birth_Certificate_Nationality_POST	Adoption Birth Certificate Nationality POST	1646752324349	1646752324539	OK	 
REQUEST	1	adoption_350_Birth_Certificate_Nationality_POST	Adoption Birth Certificate Nationality POST Redirect 1	1646752324541	1646752324576	OK	 
GROUP	1	adoption_350_Birth_Certificate_Nationality_POST	1646752324348	1646752324619	264	OK
USER	LAU Simulation	1	END	1646752299223	1646752326631
